Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_08_Source_of_Funds:_Tertiary_Education,Size,03_10 to 19 employees,2019,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,03_10 to 19 employees,2020,C,,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,03_10 to 19 employees,2021,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,03_10 to 19 employees,2022,C,P,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,04_20 to 49 employees,2016,C,,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,04_20 to 49 employees,2018,C,,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,04_20 to 49 employees,2019,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,04_20 to 49 employees,2020,C,,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,04_20 to 49 employees,2021,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,04_20 to 49 employees,2022,0,P,NZ Dollars (millions),5 and 8 and 12 and 28,120.2
_08_Source_of_Funds:_Tertiary_Education,Size,05_50 to 99 employees,2016,C,,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,05_50 to 99 employees,2018,C,,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,05_50 to 99 employees,2019,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,05_50 to 99 employees,2020,C,,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,05_50 to 99 employees,2021,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,05_50 to 99 employees,2022,C,P,NZ Dollars (millions),5 and 8 and 12 and 28,C
_08_Source_of_Funds:_Tertiary_Education,Size,06_100 or more employees,2016,441,,NZ Dollars (millions),5 and 8 and 12 and 28,0
_08_Source_of_Funds:_Tertiary_Education,Size,06_100 or more employees,2018,465,,NZ Dollars (millions),5 and 8 and 12 and 28,0.4
_08_Source_of_Funds:_Tertiary_Education,Size,06_100 or more employees,2019,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,06_100 or more employees,2020,531,R,NZ Dollars (millions),5 and 8 and 12 and 28,0
_08_Source_of_Funds:_Tertiary_Education,Size,06_100 or more employees,2021,...,,NZ Dollars (millions),5 and 8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Size,06_100 or more employees,2022,573,P,NZ Dollars (millions),5 and 8 and 12 and 28,0.1
_08_Source_of_Funds:_Tertiary_Education,Total,Total,2016,442,,NZ Dollars (millions),8 and 12 and 28,0.2
_08_Source_of_Funds:_Tertiary_Education,Total,Total,2018,466,,NZ Dollars (millions),8 and 12 and 28,0.4
_08_Source_of_Funds:_Tertiary_Education,Total,Total,2019,...,,NZ Dollars (millions),8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Total,Total,2020,534,R,NZ Dollars (millions),8 and 12 and 28,0.2
_08_Source_of_Funds:_Tertiary_Education,Total,Total,2021,...,,NZ Dollars (millions),8 and 12 and 28,...
_08_Source_of_Funds:_Tertiary_Education,Total,Total,2022,579,P,NZ Dollars (millions),8 and 12 and 28,0.3
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,3,,NZ Dollars (millions),12 and 28,264.8
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,2,,NZ Dollars (millions),12 and 28,164.1
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2020,8,,NZ Dollars (millions),12 and 28,179.1
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2022,3,P,NZ Dollars (millions),12 and 28,123.1
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,B_Mining,2016,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,B_Mining,2018,5,,NZ Dollars (millions),3 and 12 and 28,210.1
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,B_Mining,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,B_Mining,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,B_Mining,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,B_Mining,2022,..,P,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,C_Manufacturing,2016,28,,NZ Dollars (millions),12 and 28,26.8
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,C_Manufacturing,2018,29,,NZ Dollars (millions),12 and 28,50.5
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,C_Manufacturing,2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,C_Manufacturing,2020,80,,NZ Dollars (millions),12 and 28,29.8
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,C_Manufacturing,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,C_Manufacturing,2022,29,P,NZ Dollars (millions),12 and 28,48.2
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2022,..,P,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,E_Construction,2016,..,,NZ Dollars (millions),12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,E_Construction,2018,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,E_Construction,2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,E_Construction,2020,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,E_Construction,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,E_Construction,2022,0,P,NZ Dollars (millions),12 and 28,193.1
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,F_Wholesale Trade,2016,20,,NZ Dollars (millions),12 and 28,21.4
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,F_Wholesale Trade,2018,32,,NZ Dollars (millions),12 and 28,75.2
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,F_Wholesale Trade,2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,F_Wholesale Trade,2020,39,,NZ Dollars (millions),12 and 28,52
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,F_Wholesale Trade,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,F_Wholesale Trade,2022,18,P,NZ Dollars (millions),12 and 28,17.7
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,5,,NZ Dollars (millions),12 and 28,115.7
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,J_Information Media and Telecommunications,2020,4,,NZ Dollars (millions),12 and 28,87.7
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,J_Information Media and Telecommunications,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,J_Information Media and Telecommunications,2022,12,P,NZ Dollars (millions),12 and 28,78.3
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,5,,NZ Dollars (millions),3 and 12 and 28,37.7
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,4,,NZ Dollars (millions),12 and 28,196.7
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,K_Financial and Insurance Services,2020,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,K_Financial and Insurance Services,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,K_Financial and Insurance Services,2022,5,P,NZ Dollars (millions),12 and 28,182.8
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2020,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2022,..,P,NZ Dollars (millions),12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,123,,NZ Dollars (millions),12 and 28,19.4
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,182,,NZ Dollars (millions),12 and 28,37.8
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2020,231,R,NZ Dollars (millions),12 and 28,22.9
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,337,P,NZ Dollars (millions),12 and 28,18.8
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,N_Administrative and Support Services,2016,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,N_Administrative and Support Services,2018,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,N_Administrative and Support Services,2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,N_Administrative and Support Services,2020,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,N_Administrative and Support Services,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,N_Administrative and Support Services,2022,0,P,NZ Dollars (millions),12 and 28,212
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,O_Public Administration and Safety,2016,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,O_Public Administration and Safety,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,O_Public Administration and Safety,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,O_Public Administration and Safety,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,O_Public Administration and Safety,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,O_Public Administration and Safety,2022,C,P,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,P_Education and Training,2016,31,,NZ Dollars (millions),3 and 12 and 28,0
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,P_Education and Training,2018,25,,NZ Dollars (millions),3 and 12 and 28,0
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,P_Education and Training,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,P_Education and Training,2020,40,R,NZ Dollars (millions),3 and 12 and 28,0
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,P_Education and Training,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,P_Education and Training,2022,C,P,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,18,,NZ Dollars (millions),12 and 28,120.4
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,10,,NZ Dollars (millions),12 and 28,44.3
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2020,11,,NZ Dollars (millions),12 and 28,52.2
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2022,8,P,NZ Dollars (millions),12 and 28,45.3
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,12,,NZ Dollars (millions),3 and 12 and 28,285
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,R_Arts and Recreation Services,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,R_Arts and Recreation Services,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,R_Arts and Recreation Services,2022,1,P,NZ Dollars (millions),3 and 12 and 28,5.7
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,S_Other Services,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,S_Other Services,2018,7,,NZ Dollars (millions),3 and 12 and 28,184.7
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,S_Other Services,2019,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,S_Other Services,2020,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,S_Other Services,2021,...,,NZ Dollars (millions),12 and 28,...
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,S_Other Services,2022,3,P,NZ Dollars (millions),12 and 28,176.3
_09_Source_of_Funds:_Overseas,Industry,01_Primary Industry Group,2016,3,,NZ Dollars (millions),12 and 28,261.3
_09_Source_of_Funds:_Overseas,Industry,01_Primary Industry Group,2018,8,,NZ Dollars (millions),12 and 28,168.2
_09_Source_of_Funds:_Overseas,Industry,01_Primary Industry Group,2019,5,,NZ Dollars (millions),12 and 28,132.5
_09_Source_of_Funds:_Overseas,Industry,01_Primary Industry Group,2020,8,,NZ Dollars (millions),12 and 28,179.1
_09_Source_of_Funds:_Overseas,Industry,01_Primary Industry Group,2021,11,,NZ Dollars (millions),12 and 28,150.1
_09_Source_of_Funds:_Overseas,Industry,01_Primary Industry Group,2022,3,,NZ Dollars (millions),12 and 28,123.6
_09_Source_of_Funds:_Overseas,Industry,02_Manufacturing Industry Group,2016,28,,NZ Dollars (millions),12 and 28,26.8
_09_Source_of_Funds:_Overseas,Industry,02_Manufacturing Industry Group,2018,29,,NZ Dollars (millions),12 and 28,50.5
_09_Source_of_Funds:_Overseas,Industry,02_Manufacturing Industry Group,2019,69,,NZ Dollars (millions),12 and 28,25.6
_09_Source_of_Funds:_Overseas,Industry,02_Manufacturing Industry Group,2020,80,,NZ Dollars (millions),12 and 28,29.8
_09_Source_of_Funds:_Overseas,Industry,02_Manufacturing Industry Group,2021,37,,NZ Dollars (millions),12 and 28,32.4
_09_Source_of_Funds:_Overseas,Industry,02_Manufacturing Industry Group,2022,29,,NZ Dollars (millions),12 and 28,48.2
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2016,138,,NZ Dollars (millions),12 and 28,24.7
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2018,199,,NZ Dollars (millions),12 and 28,37.3
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2019,186,,NZ Dollars (millions),12 and 28,19.2
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2020,256,,NZ Dollars (millions),12 and 28,22.3
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2021,284,,NZ Dollars (millions),12 and 28,15.9
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2022,345,,NZ Dollars (millions),12 and 28,19
_09_Source_of_Funds:_Overseas,Industry,04_Government Industry Group,2016,44,,NZ Dollars (millions),3 and 12 and 28,37.9
_09_Source_of_Funds:_Overseas,Industry,04_Government Industry Group,2018,41,,NZ Dollars (millions),3 and 12 and 28,17.4
_09_Source_of_Funds:_Overseas,Industry,04_Government Industry Group,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,Industry,04_Government Industry Group,2020,42,R,NZ Dollars (millions),3 and 12 and 28,17.1
_09_Source_of_Funds:_Overseas,Industry,04_Government Industry Group,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,Industry,04_Government Industry Group,2022,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Industry,05_Higher Education Industry Group,2016,31,,NZ Dollars (millions),3 and 12 and 28,0
_09_Source_of_Funds:_Overseas,Industry,05_Higher Education Industry Group,2018,25,,NZ Dollars (millions),3 and 12 and 28,0
_09_Source_of_Funds:_Overseas,Industry,05_Higher Education Industry Group,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,Industry,05_Higher Education Industry Group,2020,40,R,NZ Dollars (millions),3 and 12 and 28,0
_09_Source_of_Funds:_Overseas,Industry,05_Higher Education Industry Group,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_09_Source_of_Funds:_Overseas,Industry,05_Higher Education Industry Group,2022,C,P,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,01_Primary,2016,3,,NZ Dollars (millions),12 and 28,261.3
_09_Source_of_Funds:_Overseas,Published_Industry,01_Primary,2018,8,,NZ Dollars (millions),12 and 28,168.2
_09_Source_of_Funds:_Overseas,Published_Industry,01_Primary,2019,5,,NZ Dollars (millions),12 and 28,132.5
_09_Source_of_Funds:_Overseas,Published_Industry,01_Primary,2020,8,,NZ Dollars (millions),12 and 28,179.1
_09_Source_of_Funds:_Overseas,Published_Industry,01_Primary,2021,11,,NZ Dollars (millions),12 and 28,150.1
_09_Source_of_Funds:_Overseas,Published_Industry,01_Primary,2022,3,,NZ Dollars (millions),12 and 28,123.6
_09_Source_of_Funds:_Overseas,Published_Industry,02_Food_Manufacturing,2016,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,02_Food_Manufacturing,2018,4,,NZ Dollars (millions),12 and 28,111.9
_09_Source_of_Funds:_Overseas,Published_Industry,02_Food_Manufacturing,2019,3,,NZ Dollars (millions),12 and 28,69.5
_09_Source_of_Funds:_Overseas,Published_Industry,02_Food_Manufacturing,2020,3,,NZ Dollars (millions),12 and 28,68.5
_09_Source_of_Funds:_Overseas,Published_Industry,02_Food_Manufacturing,2021,2,,NZ Dollars (millions),12 and 28,90.8
_09_Source_of_Funds:_Overseas,Published_Industry,02_Food_Manufacturing,2022,4,,NZ Dollars (millions),12 and 28,83.2
_09_Source_of_Funds:_Overseas,Published_Industry,03_Beverage and tobacco manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,03_Beverage and tobacco manufacturing,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,03_Beverage and tobacco manufacturing,2019,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,03_Beverage and tobacco manufacturing,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,03_Beverage and tobacco manufacturing,2021,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,03_Beverage and tobacco manufacturing,2022,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2021,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2022,1,,NZ Dollars (millions),3 and 12 and 28,23.7
_09_Source_of_Funds:_Overseas,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,13,,NZ Dollars (millions),12 and 28,34.7
_09_Source_of_Funds:_Overseas,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,23,,NZ Dollars (millions),12 and 28,61.4
_09_Source_of_Funds:_Overseas,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,20,,NZ Dollars (millions),12 and 28,59
_09_Source_of_Funds:_Overseas,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2020,10,,NZ Dollars (millions),12 and 28,89.5
_09_Source_of_Funds:_Overseas,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2021,4,,NZ Dollars (millions),12 and 28,81.6
_09_Source_of_Funds:_Overseas,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2022,0,,NZ Dollars (millions),12 and 28,131.9
_09_Source_of_Funds:_Overseas,Published_Industry,06_Non-metallic mineral product manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,06_Non-metallic mineral product manufacturing,2018,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,06_Non-metallic mineral product manufacturing,2019,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,06_Non-metallic mineral product manufacturing,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,06_Non-metallic mineral product manufacturing,2021,C,,NZ Dollars (millions),3 and 12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,06_Non-metallic mineral product manufacturing,2022,..,,NZ Dollars (millions),3 and 12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,07_Metal product manufacturing,2016,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,07_Metal product manufacturing,2018,C,,NZ Dollars (millions),12 and 28,C
_09_Source_of_Funds:_Overseas,Published_Industry,07_Metal product manufacturing,2019,..,,NZ Dollars (millions),12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,07_Metal product manufacturing,2020,2,,NZ Dollars (millions),12 and 28,118.5
_09_Source_of_Funds:_Overseas,Published_Industry,07_Metal product manufacturing,2021,..,,NZ Dollars (millions),12 and 28,..
_09_Source_of_Funds:_Overseas,Published_Industry,07_Metal product manufacturing,2022,0,,NZ Dollars (millions),12 and 28,120.9
_09_Source_of_Funds:_Overseas,Published_Industry,08_Machinery and equipment manufacturing,2016,15,,NZ Dollars (millions),12 and 28,40.6
_09_Source_of_Funds:_Overseas,Published_Industry,08_Machinery and equipment manufacturing,2018,2,,NZ Dollars (millions),12 and 28,80.2
_09_Source_of_Funds:_Overseas,Published_Industry,08_Machinery and equipment manufacturing,2019,47,,NZ Dollars (millions),12 and 28,28.5
_09_Source_of_Funds:_Overseas,Published_Industry,08_Machinery and equipment manufacturing,2020,64,,NZ Dollars (millions),12 and 28,33.9
_09_Source_of_Funds:_Overseas,Published_Industry,08_Machinery and equipment manufacturing,2021,30,,NZ Dollars (millions),12 and 28,37.8
_09_Source_of_Funds:_Overseas,Published_Industry,08_Machinery and equipment manufacturing,2022,24,,NZ Dollars (millions),12 and 28,55.8
_09_Source_of_Funds:_Overseas,Published_Industry,09_Other manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 28,C
